,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
401,4,41,1932.558,0,50,58,0.6305041785031404,0.36949582149685956,1932.558
402,4,42,9801.449,0,54,50,0.38746377711896135,0.6125362228810387,9801.449
403,4,43,5940.869000000002,1,80,69,0.5499266703234378,0.4500733296765622,5940.869000000001
404,4,44,3591.975,0,105,110,0.5718961346325242,0.4281038653674758,3591.975
405,4,45,2463.779,0,55,50,0.6326623032206521,0.3673376967793479,2463.779
406,4,46,4914.518,0,96,80,0.47788251766799184,0.5221174823320082,4916.518
407,4,47,3861.1540000000014,0,80,75,0.526306941054512,0.473693058945488,3861.1540000000005
408,4,48,1810.596,0,110,128,0.6289648983536396,0.3710351016463604,1810.596
409,4,49,6114.863,1,59,50,0.4686973953187472,0.5313026046812528,6114.863
410,4,50,2444.855,0,110,119,0.675091804665917,0.324908195334083,2444.855
411,4,51,3256.276,0,52,50,0.5618261936649979,0.43817380633500214,3256.276
412,4,52,15007.925,0,58,50,0.5795622883285612,0.42043771167143884,15007.925
413,4,53,14697.957,1,119,110,0.4243849861237835,0.5756150138762165,14697.957
414,4,54,1860.584,0,74,80,0.5531679118387522,0.4468320881612477,1860.5839999999998
415,4,55,5034.29,0,86,80,0.3923766816143498,0.6076233183856502,5227.29
416,4,56,7942.371,0,66,80,0.5110055131570889,0.4889944868429111,7749.371
417,4,57,1541.675,0,50,59,0.6113897849963638,0.38861021500363624,1541.675
418,4,58,1639.813,0,94,110,0.5815773801544182,0.41842261984558177,1639.8129999999999
419,4,59,3309.907,1,110,87,0.5316601307020541,0.4683398692979459,3309.907
420,4,60,1652.721,0,75,80,0.3984201601650456,0.6015798398349543,1652.721
421,4,61,2686.6540000000005,0,50,45,0.5752623446933159,0.42473765530668406,2686.6540000000005
422,4,62,1650.025,0,89,110,0.6244820894739602,0.3755179105260397,1650.025
423,4,63,2717.362,0,80,94,0.7030936933032176,0.29690630669678236,2717.362
424,4,64,1869.81,0,110,98,0.6717459455310808,0.3282540544689192,1869.81
425,4,65,8438.741,1,94,80,0.5167776491756392,0.48322235082436077,8440.741
426,4,66,1844.599,0,110,94,0.5858743509846005,0.4141256490153995,1844.599
427,4,67,3257.386,0,80,66,0.47545133823660096,0.5245486617633991,3257.386
428,4,68,1544.7620000000006,0,50,54,0.6078760678441881,0.39212393215581187,1544.7620000000002
429,4,69,1977.232,0,98,110,0.6454271659960394,0.3545728340039605,1977.232
430,4,70,5245.960999999998,0,50,52,0.4382399354979068,0.5617600645020931,5245.960999999999
431,4,71,10697.016,1,110,89,0.4476125443162713,0.5523874556837287,10697.016000000001
432,4,72,5721.714,0,87,110,0.5613336748826775,0.43866632511732256,5721.714
433,4,73,7035.153,0,110,105,0.43931048613300216,0.5606895138669978,7035.153
434,4,74,1696.698,0,80,96,0.558320647067841,0.441679352932159,1696.6979999999999
435,4,75,5437.186,0,80,86,0.6460682555287262,0.3539317444712739,5437.186
436,4,76,1864.389,0,50,55,0.5832330926972721,0.4167669073027279,1864.389
437,4,77,6701.093000000003,0,80,74,0.4499627699295561,0.5500372300704439,6701.093000000001
438,4,78,1591.685,0,45,50,0.5452225161260383,0.45477748387396166,1591.685
439,4,79,3241.106,0,69,80,0.5752391314022156,0.4247608685977844,3241.1059999999998
440,4,80,7326.800999999998,0,50,53,0.535596415794983,0.4644035842050171,7326.8009999999995
441,4,81,10370.944,0,50,40,0.5690696771032905,0.4309303228967095,10370.944
442,4,82,6994.066,0,80,88,0.44718743541936007,0.5528125645806399,6997.066
443,4,83,20801.538,0,115,110,0.41104856953978014,0.5889514304602199,20801.538
444,4,84,3869.451,0,103,110,0.5153722031012135,0.4846277968987865,3869.4509999999996
445,4,85,10888.107,0,90,80,0.3834366184485262,0.6165633815514738,10888.107
446,4,86,15326.428,1,80,72,0.5040724351143533,0.49592756488564677,15326.428
447,4,87,3698.599,1,93,80,0.5873137527862958,0.41268624721370417,3701.599
448,4,88,1644.716,0,80,90,0.530000357458088,0.469999642541912,1644.7160000000001
449,4,89,5217.47,1,88,80,0.453501804024472,0.5464981959755281,5217.47
450,4,90,7844.831999999998,1,80,70,0.45033376694151717,0.5496662330584828,7844.831999999999
451,4,91,1715.8470000000002,0,80,93,0.6344282425072478,0.36557175749275217,1715.8470000000002
452,4,92,2732.0370000000007,0,82,80,0.755905974981563,0.24409402501843708,2732.0370000000003
453,4,93,19264.999,0,50,41,0.556003326494469,0.4439966735055309,19264.999
454,4,94,2416.989,0,96,110,0.6364000001673648,0.3635999998326352,2416.989
455,4,95,17362.41,0,80,85,0.5730883672323673,0.4269116327676327,17362.41
456,4,96,8393.032,1,60,50,0.6062537244256109,0.3937462755743891,8393.032
457,4,97,4098.332,0,41,50,0.4665921491010033,0.5334078508989968,4098.332
458,4,98,10515.086,0,110,96,0.41742028846432944,0.5825797115356706,10515.086000000001
459,4,99,31663.561,0,72,80,0.529230751366286,0.470769248633714,31663.561
460,4,100,13825.959,0,49,50,0.612050036348697,0.38794996365130296,13825.958999999999
461,4,101,3532.394,0,43,50,0.6203208139170117,0.37967918608298834,3532.3940000000002
462,4,102,6932.071999999999,0,51,50,0.4630979737035338,0.5369020262964662,6932.071999999999
463,4,103,4322.377,0,112,110,0.5799955148295455,0.4200044851704546,4322.377
464,4,104,1712.77,0,40,50,0.6170745795933202,0.38292542040667976,1712.77
465,4,105,8741.851999999999,0,50,51,0.6239444190570631,0.37605558094293695,8741.851999999999
466,4,106,18617.121,0,85,80,0.4592826533117699,0.5407173466882301,18617.121
467,4,107,7029.46,0,50,49,0.2949264258275782,0.7050735741724218,7029.46
468,4,108,17355.536,0,50,43,0.575389953398469,0.424610046601531,17355.536
469,4,109,1770.037,0,80,82,0.5116090592874794,0.48839094071252065,1770.037
470,4,110,5798.199000000001,0,50,60,0.5493648110402019,0.45063518895979815,5798.1990000000005
471,4,111,2808.845,0,53,50,0.45521712612181686,0.5447828738781831,2811.845
472,4,112,8212.237,1,122,110,0.47970818587914144,0.5202918141208586,8212.237
473,4,113,2293.854,0,67,80,0.7122100636303549,0.2877899363696451,2293.854
474,4,114,8415.61,1,80,67,0.3836737893785316,0.6163262106214684,8418.61
475,4,115,2697.0170000000007,0,70,80,0.7263051551391638,0.27369484486083623,2697.0170000000003
476,4,116,2157.263,0,110,122,0.6254914163339244,0.37450858366607565,2157.263
477,4,117,2450.887,0,110,115,0.6654287666873007,0.3345712333126994,2453.887
478,4,118,3564.241,0,110,112,0.599690629256616,0.400309370743384,3567.241
479,4,119,2070.507,0,110,103,0.5851828352309697,0.4148171647690303,2070.507
480,5,0,7222.438,0,110,131,0.5142266849392386,0.4857733150607614,7222.438
481,5,1,4765.239000000001,0,47,50,0.5008786881385527,0.49912131186144726,4765.2390000000005
482,5,2,3295.646,1,50,44,0.5449961666062174,0.45500383339378253,3295.6459999999997
483,5,3,2944.05,1,57,50,0.5295075222267938,0.47049247777320624,2945.05
484,5,4,4044.965,0,42,50,0.5398927721309921,0.46010722786900793,4044.965
485,5,5,5083.667,1,108,110,0.5067411451804997,0.4932588548195002,5083.667
486,5,6,2478.845,0,78,80,0.6660399258771542,0.33396007412284573,2478.845
487,5,7,6831.774,0,110,92,0.5148032140942979,0.48519678590570214,6831.774
488,5,8,7215.97,0,50,48,0.4864957719317345,0.5135042280682655,7215.97
489,5,9,7304.288,0,110,101,0.525748848770838,0.47425115122916195,7304.2880000000005
490,5,10,7185.6,1,46,50,0.39683243211299235,0.6031675678870076,7185.6
491,5,11,9791.269,1,80,83,0.4503337879673717,0.5496662120326283,9791.269
492,5,12,5181.088,0,50,56,0.5303372641787599,0.4696627358212401,5181.088
493,5,13,6220.18,1,50,47,0.529679644296434,0.47032035570356606,6220.18
494,5,14,4647.5920000000015,0,110,124,0.5727796136554665,0.42722038634453346,4647.592000000001
495,5,15,8988.713,0,91,80,0.5521927057362633,0.44780729426373667,8988.713
496,5,16,3464.902,0,64,80,0.5574824302462866,0.44251756975371337,3464.902
497,5,17,10276.159,0,83,80,0.5386711160712164,0.4613288839287835,10276.159
498,5,18,5499.503000000002,0,101,110,0.5228682308778172,0.4771317691221828,5499.503000000001
499,5,19,6396.53,1,56,50,0.4522714349622206,0.5477285650377794,6396.53
500,5,20,3607.382,0,50,42,0.5763409841167378,0.42365901588326216,3607.382
