parcode,trial,fix_item,fix_time,rt,block
1,136,0,38,1818.684,LESS
1,136,1,654,1818.684,LESS
1,136,2,596,1818.684,LESS
1,136,1,530.684,1818.684,LESS
1,137,0,35,3040.837,LESS
1,137,1,1662,3040.837,LESS
1,137,2,702,3040.837,LESS
1,137,1,641.837,3040.837,LESS
1,138,0,63,3156.807,LESS
1,138,1,1718,3156.807,LESS
1,138,0,350,3156.807,LESS
1,138,2,646,3156.807,LESS
1,138,1,379.807,3156.807,LESS
1,139,0,202,5926.643,LESS
1,139,1,2012,5926.643,LESS
1,139,2,816,5926.643,LESS
1,139,1,1892,5926.643,LESS
1,139,2,1004.643,5926.643,LESS
1,140,3,0,5926.643,LESS
1,140,1,823,4156.099,LESS
1,140,2,1970,4156.099,LESS
1,140,1,806,4156.099,LESS
1,140,2,562.099,4156.099,LESS
1,141,0,30,2333.893,LESS
1,141,1,608,2333.893,LESS
1,141,2,940,2333.893,LESS
1,141,1,755.893,2333.893,LESS
1,142,0,254,2362.993,LESS
1,142,1,280,2362.993,LESS
1,142,2,720,2362.993,LESS
1,142,1,654,2362.993,LESS
1,142,2,454.993,2362.993,LESS
1,143,0,154,1705.088,LESS
1,143,1,834,1705.088,LESS
1,143,2,717.088,1705.088,LESS
1,144,3,13,1705.088,LESS
1,144,1,410,1720.385,LESS
1,144,2,642,1720.385,LESS
1,144,1,655.385,1720.385,LESS
1,145,0,225,1728.218,LESS
1,145,1,550,1728.218,LESS
1,145,2,662,1728.218,LESS
1,145,1,291.218,1728.218,LESS
1,146,3,13,1728.218,LESS
1,146,1,518,2498.348,LESS
1,146,2,612,2498.348,LESS
1,146,1,802,2498.348,LESS
1,146,2,553.348,2498.348,LESS
1,147,0,149,3240.459,LESS
1,147,1,520,3240.459,LESS
1,147,2,552,3240.459,LESS
1,147,1,784,3240.459,LESS
1,147,2,1235.459,3240.459,LESS
1,148,0,179,2765.97,LESS
1,148,1,716,2765.97,LESS
1,148,2,702,2765.97,LESS
1,148,1,654,2765.97,LESS
1,148,2,514.97,2765.97,LESS
1,149,0,185,2998.353,LESS
1,149,1,906,2998.353,LESS
1,149,2,752,2998.353,LESS
1,149,1,712,2998.353,LESS
1,149,2,443.353,2998.353,LESS
1,150,0,238,2079.715,LESS
