,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
166,2,46,4605.276,0,96,80,0.486431802,0.513568198,4605.276
167,2,47,10068.237,1,80,75,0.568574093,0.431425907,10071.237
168,2,48,4717.351,1,110,128,0.678824453,0.321175547,4717.351
169,2,49,10498.412,0,59,50,0.589050042,0.410949958,10498.412
170,2,50,4786.207,1,110,119,0.505419107,0.494580893,4786.207
171,2,51,17514.257,0,52,50,0.719718898,0.280281102,17514.257
172,2,52,7383.357,0,58,50,0.504990174,0.495009826,7383.357
173,2,53,19661.432,0,119,110,0.664303809,0.335696191,19664.432
174,2,54,11765.399,1,74,80,0.569102918,0.430897082,11765.399
175,2,55,11965.88,0,86,80,0.544125948,0.455874052,11965.88
176,2,56,3989.236,1,66,80,0.668575058,0.331424942,3989.236
177,2,57,9313.449,0,50,59,0.566032127,0.433967873,9315.449
178,2,58,10580.194,1,94,110,0.574559893,0.425440107,10580.194
179,2,59,6636.98,0,110,87,0.625419138,0.374580862,6636.98
180,2,60,6202.516,1,75,80,0.674492665,0.325507335,6202.516
181,2,61,28899.841,1,50,45,0.513022736,0.486977264,28899.841
182,2,62,9338.527,1,89,110,0.548337316,0.451662684,9338.527
183,2,63,4110.953,1,80,94,0.572667237,0.427332763,4110.953
184,2,64,5941.794,0,110,98,0.553392129,0.446607871,5941.794
185,2,65,2614.124,0,94,80,0.669128373,0.330871627,2614.124
186,2,66,5470.66,0,110,94,0.565555771,0.434444229,5473.66
187,2,67,11858.61,0,80,66,0.501973958,0.498026042,11860.61
188,2,68,4419.104,1,50,54,0.529958128,0.470041872,4421.104
189,2,69,8740.806,1,98,110,0.513166421,0.486833579,8740.806
190,2,70,11192.925,0,50,52,0.655861447,0.344138553,11192.925
191,2,71,11204.062,0,110,89,0.640469619,0.359530381,11204.062
192,2,72,7304.684,1,87,110,0.564808163,0.435191837,7304.684
193,2,73,8140.553,1,110,105,0.514233038,0.485766962,8140.553
194,2,74,10329.606,1,80,96,0.597448263,0.402551737,10329.606
195,2,75,6838.95,1,80,86,0.499469543,0.500530457,6838.95
196,2,76,7156.253,1,50,55,0.573014549,0.426985451,7156.253
197,2,77,23243.997,0,80,74,0.564095639,0.435904361,23243.997
198,2,78,8328.395,1,45,50,0.573619305,0.426380695,8328.395
199,2,79,2418.19,1,69,80,0.55536025,0.44463975,2418.19
200,2,80,7567.203,1,50,53,0.557549973,0.442450027,7568.203
201,2,81,3128.203,0,50,40,0.680757252,0.319242748,3128.203
202,2,82,4282.243,1,80,88,0.567686028,0.432313972,4282.243
203,2,83,11387.791,1,115,110,0.463497463,0.536502537,11387.791
204,2,84,6243.72,1,103,110,0.554966514,0.445033486,6243.72
205,2,85,7674.5,1,90,80,0.551714952,0.448285048,7674.5
206,2,86,13351.711,0,80,72,0.541425997,0.458574003,13351.711
207,2,87,15023.755,0,93,80,0.433544763,0.566455237,15023.755
208,2,88,4556.762,1,80,90,0.590291838,0.409708162,4558.762
209,2,89,8987.876,0,88,80,0.461859837,0.538140163,8987.876
210,2,90,10619.167,0,80,70,0.510633947,0.489366053,10619.167
211,2,91,3456.776,1,80,93,0.579571462,0.420428538,3456.776
212,2,92,6730.993,0,82,80,0.638897193,0.361102807,6730.993
213,2,93,6897.652,0,50,41,0.578349524,0.421650476,6897.652
214,2,94,7074.372,1,96,110,0.571056911,0.428943089,7233.372
215,2,95,4346.168,1,80,85,0.65342494,0.34657506,4187.168
216,2,96,15269.582,0,60,50,0.514770212,0.485229788,15271.582
217,2,97,5680.574,1,41,50,0.609101517,0.390898483,5680.574
218,2,98,6420.155,0,110,96,0.638439122,0.361560878,6422.155
219,2,99,7512.655,1,72,80,0.554604811,0.445395189,7512.655
220,2,100,4470.683,1,49,50,0.498582171,0.501417829,4472.683
221,2,101,15616.594,0,43,50,0.515201226,0.484798774,15619.594
222,2,102,5593.92,0,51,50,0.572665398,0.427334602,5593.92
223,2,103,7397.905,1,112,110,0.772814659,0.227185341,7399.905
224,2,104,4188.963,1,40,50,0.460753292,0.539246708,4190.963
225,2,105,11009.734,1,50,51,0.655245662,0.344754338,11009.734
226,2,106,12227.283,1,85,80,0.436591916,0.563408084,12227.283
227,2,107,6611.683,0,50,49,0.56514396,0.43485604,6613.683
228,2,108,6072.679,0,50,43,0.612224411,0.387775589,6075.679
229,2,109,6999.655,1,80,82,0.500928523,0.499071477,6999.655
230,2,110,3228.329,1,50,60,0.560864904,0.439135096,3228.329
231,2,111,4967.049,0,53,50,0.610371884,0.389628116,4967.049
232,2,112,12912.862,1,122,110,0.544778712,0.455221288,12912.862
233,2,113,5397.382,1,67,80,0.554018539,0.445981461,5397.382
234,2,114,9558.551,0,80,67,0.680524303,0.319475697,9558.551
235,2,115,6003.087,1,70,80,0.699103343,0.300896657,6003.087
236,2,116,18304.296,1,110,122,0.517726171,0.482273829,18304.296
237,2,117,4058.755,1,110,115,0.653709635,0.346290365,4058.755
238,2,118,23107.279,1,110,112,0.465260204,0.534739796,23107.279
239,2,119,7476.425,0,110,103,0.618019574,0.381980426,8641.425
240,3,0,8280.333,1,110,131,0.535698561,0.464301439,8280.333
241,3,1,7167.467,1,47,50,0.521027287,0.478972713,7513.467
242,3,2,8070.478,1,50,44,0.366108881,0.633891119,7724.478
243,3,3,4998.854,0,57,50,0.698955366,0.301044634,5365.854
244,3,4,7020.031,1,42,50,0.396100379,0.603899621,6653.031
245,3,5,5506.326,1,108,110,0.486609405,0.513390595,5506.326
246,3,6,5346.013,1,78,80,0.559907834,0.440092166,5705.013
247,3,7,6129.209,0,110,92,0.619768832,0.380231168,6169.209
248,3,8,9167.056,0,50,48,0.539389463,0.460610537,9611.056
249,3,9,7253.443,1,110,101,0.518127581,0.481872419,6842.443
