,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit
49,1,50,54,110,101,0,3440.738,24,2589.771,MORE,-1738,2902,1164,4,1,-9,-0.843667615,9,0,-2.183382793,0.558594139,211,110,101,1,1.017196402,1.170500555,0.819350388,1.312145182,-1.556570497,1.556570497,0.819350388,1.170500555,0,1,0
50,1,51,14,46,50,1,5698.027,44,1077.134,MORE,-290,1972,1682,3,2,4,0.374963384,4,-0.87303787,-1.15449634,2.400325683,96,46,50,0,-1.276481759,-1.326567295,-1.170500555,0.456398324,0.203692495,0.203692495,-1.170500555,-1.326567295,0,1,1
51,1,52,22,80,83,1,8224.467,64,1717.749,MORE,-1804,4458,2654,7,2,3,0.281222538,3,-1.047645444,-0.125609888,4.461658656,163,80,83,0,0.059835082,0,0.117050055,3.879385757,-1.636803479,1.636803479,0.117050055,0,0,1,0
52,1,53,6,50,56,1,2626.168,64,2225.933,MORE,-434,1480,1046,3,2,6,0.562445076,6,-0.523822722,-0.125609888,-0.106016934,106,50,56,0,-1.077031484,-1.170500555,-0.936400444,0.456398324,0.028638717,0.028638717,-0.936400444,-1.170500555,0,1,0
53,1,54,13,50,47,0,1991.413,34,929.111,MORE,-994,1494,500,2,1,-3,-0.281222538,3,-1.047645444,-1.668939567,-0.623916196,97,50,47,1,-1.256536731,-1.170500555,-1.28755061,-0.399348534,-0.652125976,0.652125976,-1.28755061,-1.170500555,0,1,0
54,1,55,46,110,124,1,1671.149,64,893.164,MORE,432,654,1086,1,2,14,1.312371845,14,0.87303787,-0.125609888,-0.885220934,234,110,124,0,1.475932034,1.170500555,1.716734147,-1.255095392,1.081392689,1.081392689,1.716734147,1.170500555,0,0,1
55,1,56,27,91,80,0,2607.607,54,1793.087,MORE,-1654,2206,552,2,1,-11,-1.031149307,11,0.349215148,-0.640053114,-0.121160932,171,91,80,1,0.219395302,0.429183537,0,-0.399348534,-1.454455793,1.454455793,0,0.429183537,0,1,0
56,1,57,40,64,80,1,1527.826,100,813.322,MORE,758,562,1320,1,2,16,1.499853537,16,1.222253018,1.726385727,-1.00215877,144,64,80,0,-0.31912044,-0.624266962,0,-1.255095392,1.477694993,1.477694993,0,-0.624266962,1,0,1
57,1,58,22,83,80,0,5043.16,64,1399.128,MORE,-526,2494,1968,6,1,-3,-0.281222538,3,-1.047645444,-0.125609888,1.866016957,163,83,80,1,0.059835082,0.117050055,0,3.023638899,-0.083201197,0.083201197,0,0.117050055,0,1,0
58,1,59,54,101,110,1,2267.665,34,986.77,MORE,142,996,1138,1,2,9,0.843667615,9,0,-1.668939567,-0.398521033,211,101,110,0,1.017196402,0.819350388,1.170500555,-1.255095392,0.72885383,0.72885383,1.170500555,0.819350388,0,0,1
