name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,17,1,264,3602,2.0
p1.edf,1,17,1,302,3602,2.0
p1.edf,1,17,1,640,3602,2.0
p1.edf,1,17,2,260,3602,2.0
p1.edf,1,17,2,322,3602,2.0
p1.edf,1,17,2,256,3602,2.0
p1.edf,1,17,2,328,3602,2.0
p1.edf,1,17,2,318,3602,2.0
p1.edf,1,17,2,424,3602,2.0
p1.edf,1,18,3,268,5674,2.0
p1.edf,1,18,1,130,5674,2.0
p1.edf,1,18,1,278,5674,2.0
p1.edf,1,18,1,294,5674,2.0
p1.edf,1,18,2,394,5674,2.0
p1.edf,1,18,2,188,5674,2.0
p1.edf,1,18,2,274,5674,2.0
p1.edf,1,18,2,278,5674,2.0
p1.edf,1,18,2,340,5674,2.0
p1.edf,1,18,1,364,5674,2.0
p1.edf,1,18,1,448,5674,2.0
p1.edf,1,18,1,198,5674,2.0
p1.edf,1,18,2,530,5674,2.0
p1.edf,1,18,2,204,5674,2.0
p1.edf,1,18,2,670,5674,2.0
p1.edf,1,18,2,308,5674,2.0
p1.edf,1,18,1,288,5674,2.0
p1.edf,1,18,1,220,5674,2.0
p1.edf,1,19,3,371,2567,2.0
p1.edf,1,19,1,336,2567,2.0
p1.edf,1,19,1,234,2567,2.0
p1.edf,1,19,2,428,2567,2.0
p1.edf,1,19,2,164,2567,2.0
p1.edf,1,19,2,266,2567,2.0
p1.edf,1,19,2,320,2567,2.0
p1.edf,1,19,2,344,2567,2.0
p1.edf,1,19,2,104,2567,2.0
p1.edf,1,20,3,262,2097,2.0
p1.edf,1,20,1,154,2097,2.0
p1.edf,1,20,1,288,2097,2.0
p1.edf,1,20,1,170,2097,2.0
p1.edf,1,20,2,410,2097,2.0
p1.edf,1,20,2,238,2097,2.0
p1.edf,1,20,1,440,2097,2.0
p1.edf,1,20,1,135,2097,2.0
p1.edf,1,21,3,253,3641,2.0
p1.edf,1,21,1,184,3641,2.0
